model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fit_time_mean,score_time_mean
LogisticRegression,0.86166,0.01737,0.83238,0.00931,0.0492,0.0169
KNeighborsClassifier,0.82703,0.02764,0.73718,0.01258,0.02528,0.34569
DecisionTreeClassifier,0.83028,0.01055,0.73706,0.01805,0.01545,0.00962
RandomForestClassifier,0.87271,0.01865,0.85516,0.01345,0.11729,0.01646
GradientBoostingClassifier,0.87849,0.0208,0.85916,0.01954,0.12802,0.01017
SVC,0.85325,0.01627,0.81455,0.03631,0.09977,0.02154
