model,cv_mean_f1,cv_std_f1
LogisticRegression,0.7324871144615825,0.033245229346171405
KNeighborsClassifier,0.7105561471965122,0.013715864729379959
DecisionTreeClassifier,0.7404901126692331,0.030554789162748057
RandomForestClassifier,0.7230411088464452,0.03772176269471112
GradientBoostingClassifier,0.7574749465486557,0.03475908303469203
SVC,0.763383781147589,0.02679098253880487
