model,accuracy,precision,recall,f1
LogisticRegression,0.8268156424581006,0.8275862068965517,0.6956521739130435,0.7559055118110236
KNeighborsClassifier,0.7374301675977654,0.6833333333333333,0.5942028985507246,0.6356589147286822
DecisionTreeClassifier,0.8044692737430168,0.8035714285714286,0.6521739130434783,0.72
RandomForestClassifier,0.8100558659217877,0.8431372549019608,0.6231884057971014,0.7166666666666667
GradientBoostingClassifier,0.8044692737430168,0.8148148148148148,0.6376811594202898,0.7154471544715447
SVC,0.8324022346368715,0.8095238095238095,0.7391304347826086,0.7727272727272727
