mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.45627436637878416,0.007311160757578303,0.017928886413574218,0.0017385641584858663,0.0849080237694725,2,8,288,0.8387400631785948,"{'model__learning_rate': np.float64(0.0849080237694725), 'model__max_depth': 2, 'model__min_samples_leaf': 8, 'model__n_estimators': 288, 'model__subsample': np.float64(0.8387400631785948)}",0.9087615283267457,0.8959893048128342,0.8598262032085562,0.8709224598930481,0.8794043345299827,0.8829807661542333,0.017482546579287384,13
1.2105882167816162,0.016574124619958525,0.018644094467163086,0.0012993735741904427,0.09916655057071823,4,8,472,0.8404460046972835,"{'model__learning_rate': np.float64(0.09916655057071823), 'model__max_depth': 4, 'model__min_samples_leaf': 8, 'model__n_estimators': 472, 'model__subsample': np.float64(0.8404460046972835)}",0.907312252964427,0.8819518716577539,0.833355614973262,0.851403743315508,0.8795372955723972,0.8707121556966697,0.0257375498143157,48
0.7495834827423096,0.03212912555646863,0.018762683868408202,0.0017119302941100314,0.1516145155592091,3,5,357,0.8887995089067299,"{'model__learning_rate': np.float64(0.1516145155592091), 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__n_estimators': 357, 'model__subsample': np.float64(0.8887995089067299)}",0.9158761528326747,0.8877005347593583,0.8381684491978609,0.8667780748663101,0.8795372955723972,0.8776121014457203,0.02546683459822215,33
0.5228958606719971,0.0070072290902982925,0.016748571395874025,0.0011400100237612364,0.19771054180315006,3,5,260,0.7216968971838151,"{'model__learning_rate': np.float64(0.19771054180315006), 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__n_estimators': 260, 'model__subsample': np.float64(0.7216968971838151)}",0.9104743083003953,0.8885026737967915,0.8332219251336899,0.8608957219251336,0.873421087621327,0.8733031433554675,0.025973768692822696,43
0.4770498275756836,0.016542003301835324,0.016463851928710936,0.0006659462170784282,0.11495128632644756,5,9,148,0.8099098641033556,"{'model__learning_rate': np.float64(0.11495128632644756), 'model__max_depth': 5, 'model__min_samples_leaf': 9, 'model__n_estimators': 148, 'model__subsample': np.float64(0.8099098641033556)}",0.9112648221343873,0.8966577540106951,0.8483288770053476,0.8603609625668449,0.8795372955723973,0.8792299422579346,0.02298247526084045,27
1.646963405609131,0.030139956308017534,0.019641637802124023,0.0014919766826859188,0.08997219434305109,5,3,463,0.8056937753654446,"{'model__learning_rate': np.float64(0.08997219434305109), 'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__n_estimators': 463, 'model__subsample': np.float64(0.8056937753654446)}",0.906258234519104,0.8755347593582888,0.8375,0.8431149732620321,0.8833931658024199,0.869160226588369,0.025691238146864227,49
1.112215232849121,0.041737616595559746,0.01762809753417969,0.0006273046924804434,0.1284829137724085,4,5,406,0.8721230154351118,"{'model__learning_rate': np.float64(0.1284829137724085), 'model__max_depth': 4, 'model__min_samples_leaf': 5, 'model__n_estimators': 406, 'model__subsample': np.float64(0.8721230154351118)}",0.9166666666666667,0.8782085561497325,0.8405748663101604,0.8459224598930482,0.8760803084696184,0.8714905714978454,0.027263843222270302,47
0.44685678482055663,0.028820534601954304,0.017354154586791994,0.0018420877304198627,0.1000998503939086,3,4,188,0.9862528132298237,"{'model__learning_rate': np.float64(0.1000998503939086), 'model__max_depth': 3, 'model__min_samples_leaf': 4, 'model__n_estimators': 188, 'model__subsample': np.float64(0.9862528132298237)}",0.9123188405797102,0.9002673796791444,0.8544786096256686,0.8651737967914439,0.8718255551123522,0.8808128363576639,0.021862981673116896,20
0.8015666484832764,0.022800577822025252,0.01936020851135254,0.003414806453478198,0.17167946962329225,2,5,485,0.8736932106048627,"{'model__learning_rate': np.float64(0.17167946962329225), 'model__max_depth': 2, 'model__min_samples_leaf': 5, 'model__n_estimators': 485, 'model__subsample': np.float64(0.8736932106048627)}",0.9158761528326747,0.883957219251337,0.8495320855614974,0.8685160427807487,0.8800691397420555,0.8795901280336625,0.0217352148141309,25
0.3934467792510986,0.02044898953364917,0.018044090270996092,0.003173350236721997,0.09803049874792026,4,8,134,0.9637281608315128,"{'model__learning_rate': np.float64(0.09803049874792026), 'model__max_depth': 4, 'model__min_samples_leaf': 8, 'model__n_estimators': 134, 'model__subsample': np.float64(0.9637281608315128)}",0.907312252964427,0.9027406417112299,0.8592914438502673,0.8662433155080215,0.8728892434516686,0.8816953794971228,0.019582532593835595,17
0.5004393100738526,0.06635882741964792,0.019672727584838866,0.003287718658648172,0.061755996320003385,5,4,101,0.7700623497964979,"{'model__learning_rate': np.float64(0.061755996320003385), 'model__max_depth': 5, 'model__min_samples_leaf': 4, 'model__n_estimators': 101, 'model__subsample': np.float64(0.7700623497964979)}",0.9087615283267458,0.8994652406417113,0.8516711229946524,0.8727941176470588,0.8786065682754953,0.8822597155771328,0.020184059043322513,16
1.0771714210510255,0.226159854046954,0.029936742782592774,0.009507919525307393,0.05158833257363777,5,6,290,0.9369139098379994,"{'model__learning_rate': np.float64(0.05158833257363777), 'model__max_depth': 5, 'model__min_samples_leaf': 6, 'model__n_estimators': 290, 'model__subsample': np.float64(0.9369139098379994)}",0.9110013175230567,0.8950534759358288,0.8493983957219251,0.8634358288770054,0.8751495811727164,0.8788077198461066,0.021976977400329303,29
